From Date,RH
23-05-2019 00:00,50.02
24-05-2019 00:00,61
25-05-2019 00:00,38.03
26-05-2019 00:00,31.13
27-05-2019 00:00,29.34
28-05-2019 00:00,26.21
29-05-2019 00:00,27.89
30-05-2019 00:00,28.96
31-05-2019 00:00,22.33
01-06-2019 00:00,36.19
02-06-2019 00:00,45.47
03-06-2019 00:00,46.05
04-06-2019 00:00,44.7
05-06-2019 00:00,41.17
06-06-2019 00:00,34.69
07-06-2019 00:00,44.95
08-06-2019 00:00,40.75
09-06-2019 00:00,32.11
10-06-2019 00:00,30
11-06-2019 00:00,21.07
12-06-2019 00:00,37.42
13-06-2019 00:00,35.94
14-06-2019 00:00,26.66
15-06-2019 00:00,25.21
16-06-2019 00:00,48.36
17-06-2019 00:00,46.61
18-06-2019 00:00,65.53
19-06-2019 00:00,56.35
20-06-2019 00:00,51.41
21-06-2019 00:00,53.83
22-06-2019 00:00,43.96
23-06-2019 00:00,44.89
24-06-2019 00:00,66.44
25-06-2019 00:00,59.72
26-06-2019 00:00,45.46
27-06-2019 00:00,43.43
28-06-2019 00:00,39.23
29-06-2019 00:00,32.98
30-06-2019 00:00,36.43
01-07-2019 00:00,37.03
02-07-2019 00:00,45.77
03-07-2019 00:00,55.57
04-07-2019 00:00,72.75
05-07-2019 00:00,77.47
06-07-2019 00:00,67.62
07-07-2019 00:00,69.55
08-07-2019 00:00,65.07
09-07-2019 00:00,73.36
10-07-2019 00:00,64.32
11-07-2019 00:00,53.12
12-07-2019 00:00,54.87
13-07-2019 00:00,49.11
14-07-2019 00:00,52.38
15-07-2019 00:00,77.46
16-07-2019 00:00,82
17-07-2019 00:00,86.57
18-07-2019 00:00,87.08
19-07-2019 00:00,73.52
20-07-2019 00:00,84.46
21-07-2019 00:00,79.33
22-07-2019 00:00,72.46
23-07-2019 00:00,74.79
24-07-2019 00:00,71.59
25-07-2019 00:00,84.8
26-07-2019 00:00,91.6
27-07-2019 00:00,92.66
28-07-2019 00:00,84.84
29-07-2019 00:00,76.55
30-07-2019 00:00,77.73
31-07-2019 00:00,77.14
01-08-2019 00:00,72.98
02-08-2019 00:00,84.91
03-08-2019 00:00,89.15
04-08-2019 00:00,86.17
05-08-2019 00:00,83.86
06-08-2019 00:00,95.85
07-08-2019 00:00,83.46
08-08-2019 00:00,73.94
09-08-2019 00:00,70.07
10-08-2019 00:00,78.65
11-08-2019 00:00,69.34
12-08-2019 00:00,78.01
13-08-2019 00:00,79.89
14-08-2019 00:00,81.47
15-08-2019 00:00,79.88
16-08-2019 00:00,81.91
17-08-2019 00:00,93.59
18-08-2019 00:00,89.67
19-08-2019 00:00,77.74
20-08-2019 00:00,71.52
21-08-2019 00:00,69.05
22-08-2019 00:00,75
23-08-2019 00:00,80.78
24-08-2019 00:00,83.98
25-08-2019 00:00,87.38
26-08-2019 00:00,79.01
27-08-2019 00:00,75.31
28-08-2019 00:00,73.71
29-08-2019 00:00,73.81
30-08-2019 00:00,73.42
31-08-2019 00:00,76.79
01-09-2019 00:00,83.38
02-09-2019 00:00,74.14
03-09-2019 00:00,75.63
04-09-2019 00:00,78.64
05-09-2019 00:00,78.09
06-09-2019 00:00,72.61
07-09-2019 00:00,81.12
08-09-2019 00:00,75.45
09-09-2019 00:00,68.2
10-09-2019 00:00,68.01
11-09-2019 00:00,68.3
12-09-2019 00:00,73.63
13-09-2019 00:00,71.17
14-09-2019 00:00,72.3
15-09-2019 00:00,81.46
16-09-2019 00:00,70.95
17-09-2019 00:00,67.45
18-09-2019 00:00,65.54
19-09-2019 00:00,72.62
20-09-2019 00:00,72.01
21-09-2019 00:00,76.32
22-09-2019 00:00,82.98
23-09-2019 00:00,75.6
24-09-2019 00:00,75.04
25-09-2019 00:00,75.24
26-09-2019 00:00,72.22
27-09-2019 00:00,75.54
28-09-2019 00:00,77.19
29-09-2019 00:00,78
30-09-2019 00:00,78.1
01-10-2019 00:00,77.49
02-10-2019 00:00,72.81
03-10-2019 00:00,71
04-10-2019 00:00,73.12
05-10-2019 00:00,61.58
06-10-2019 00:00,63.39
07-10-2019 00:00,58.52
08-10-2019 00:00,61.78
09-10-2019 00:00,65.74
10-10-2019 00:00,63.5
11-10-2019 00:00,65.84
12-10-2019 00:00,67.05
13-10-2019 00:00,67.65
14-10-2019 00:00,68.21
15-10-2019 00:00,69.44
16-10-2019 00:00,71.14
17-10-2019 00:00,66.95
18-10-2019 00:00,58.64
19-10-2019 00:00,59.72
20-10-2019 00:00,59.16
21-10-2019 00:00,60.49
22-10-2019 00:00,56.61
23-10-2019 00:00,64.09
24-10-2019 00:00,66.96
25-10-2019 00:00,64.87
26-10-2019 00:00,68.9
27-10-2019 00:00,66.77
28-10-2019 00:00,69.72
29-10-2019 00:00,75.17
30-10-2019 00:00,70.61
31-10-2019 00:00,73.49
01-11-2019 00:00,67.34
02-11-2019 00:00,73.96
03-11-2019 00:00,74.84
04-11-2019 00:00,62.69
05-11-2019 00:00,58.15
06-11-2019 00:00,59.97
07-11-2019 00:00,73.58
08-11-2019 00:00,68.75
09-11-2019 00:00,56.99
10-11-2019 00:00,52.43
11-11-2019 00:00,61.61
12-11-2019 00:00,67.93
13-11-2019 00:00,69.68
14-11-2019 00:00,75.45
15-11-2019 00:00,66.51
16-11-2019 00:00,56.89
17-11-2019 00:00,53.04
18-11-2019 00:00,64.75
19-11-2019 00:00,80.59
20-11-2019 00:00,54.26
21-11-2019 00:00,68.42
22-11-2019 00:00,67.87
23-11-2019 00:00,54.67
24-11-2019 00:00,55.04
25-11-2019 00:00,66.59
26-11-2019 00:00,58.63
27-11-2019 00:00,65.04
28-11-2019 00:00,74.14
29-11-2019 00:00,74.89
30-11-2019 00:00,77.52
01-12-2019 00:00,72.59
02-12-2019 00:00,69.75
03-12-2019 00:00,63.54
04-12-2019 00:00,65.72
05-12-2019 00:00,71.51
06-12-2019 00:00,76.46
07-12-2019 00:00,75.61
08-12-2019 00:00,75.05
09-12-2019 00:00,70.68
10-12-2019 00:00,73.54
11-12-2019 00:00,74.08
12-12-2019 00:00,74.12
13-12-2019 00:00,85.81
14-12-2019 00:00,80.89
15-12-2019 00:00,77.68
16-12-2019 00:00,81.32
17-12-2019 00:00,77.03
18-12-2019 00:00,72.2
19-12-2019 00:00,87.78
20-12-2019 00:00,84.16
21-12-2019 00:00,81.59
22-12-2019 00:00,83.34
23-12-2019 00:00,73.77
24-12-2019 00:00,77.68
25-12-2019 00:00,79.27
26-12-2019 00:00,74
27-12-2019 00:00,71.25
28-12-2019 00:00,79.38
29-12-2019 00:00,74.75
30-12-2019 00:00,92.7
31-12-2019 00:00,81.24
